Wall time,Step,Value
1653405771.3245118,0,16277.826171875
1653406102.3025339,100,9908.046875
1653406443.9287157,200,10012.703125
1653406791.4196715,300,9618.3525390625
1653407195.1287456,400,8898.119140625
1653407540.2827709,500,9183.1298828125
1653407948.0497367,600,9058.517578125
1653408445.4550953,700,9187.8857421875
1653408815.0743084,800,8882.408203125
1653409157.312908,900,8828.853515625
1653409503.7197192,1000,8494.4501953125
1653409849.737755,1100,8956.8369140625
1653410193.7177932,1200,8796.787109375
1653410534.2058275,1300,8430.5458984375
1653410863.191126,1400,8483.083984375
1653411299.737065,1500,8680.650390625
1653411790.8061957,1600,9203.462890625
1653412285.6165457,1700,8687.916015625
1653412772.9757466,1800,8673.380859375
1653413250.854048,1900,7855.68994140625
1653413729.9540892,2000,8703.9599609375
1653414226.9287157,2100,7587.7431640625
1653414700.090666,2200,8472.59765625
1653415057.9128673,2300,7915.31201171875
1653415405.2276995,2400,8580.8857421875
1653415762.8341208,2500,8366.060546875
1653416097.4016438,2600,8425.640625
1653416472.3034942,2700,8185.64501953125
1653416965.7251306,2800,8541.328125
1653417457.5750003,2900,8443.5947265625
1653417938.314907,3000,8740.2822265625
1653418427.033159,3100,8447.8037109375
1653418913.035275,3200,7968.5234375
1653419337.565094,3300,9180.2880859375
1653419679.171182,3400,8176.5068359375
1653420095.7778811,3500,8631.978515625
1653420581.4799225,3600,7966.3291015625
1653421082.4948628,3700,8640.6142578125
1653421550.200886,3800,8826.173828125
1653422041.30252,3900,8684.498046875
1653422523.5832653,4000,8451.6796875
1653423009.141248,4100,8023.21826171875
1653423489.9344811,4200,8586.427734375
1653423983.127682,4300,8202.244140625
1653424472.5196917,4400,7983.35595703125
1653424949.2731483,4500,8413.12109375
1653425425.807559,4600,8341.958984375
1653425894.1093311,4700,8233.515625
1653426371.2217402,4800,8169.416015625
1653426794.7541616,4900,8193.607421875
1653427146.5128868,5000,8216.2470703125
1653427495.720773,5100,8425.142578125
1653427982.6064832,5200,8132.32177734375
1653428466.1944008,5300,8174.3974609375
1653428934.4622662,5400,8390.4541015625
1653429406.14727,5500,8012.4853515625
1653429891.0910497,5600,8159.3994140625
1653430367.1249897,5700,7910.474609375
1653430836.544184,5800,8085.85546875
1653431304.0628743,5900,9042.9599609375
1653431784.96912,6000,8057.67236328125
1653432256.8162925,6100,8319.568359375
1653432750.8417463,6200,8554.6796875
1653433223.3341916,6300,8018.48193359375
1653433694.352159,6400,8284.8828125
1653434163.0176806,6500,7981.86767578125
1653434638.505737,6600,8218.1357421875
1653435116.9412348,6700,8285.072265625
1653435596.199424,6800,7772.2314453125
1653436071.1043355,6900,7522.900390625
1653436551.8293436,7000,8236.9306640625
1653437042.2015412,7100,8315.044921875
1653437524.7178187,7200,8105.67578125
1653438007.3967066,7300,8660.3671875
1653438496.373706,7400,8245.93359375
1653438976.4055037,7500,8010.07958984375
1653439447.0257607,7600,8301.8212890625
1653439932.0181673,7700,8372.224609375
1653440415.9312434,7800,7647.349609375
1653440893.4059374,7900,8044.6064453125
1653441367.441021,8000,7578.92578125
1653441830.9628916,8100,7684.0068359375
1653442309.2611928,8200,7936.3173828125
1653442781.9124134,8300,7966.2109375
1653443255.4623866,8400,7733.52734375
1653443719.53173,8500,8045.9169921875
1653444193.6067104,8600,7447.05517578125
1653444676.7991095,8700,8186.1064453125
1653445145.9202826,8800,8111.025390625
1653445620.0836525,8900,7941.23828125
1653446077.754096,9000,8040.8681640625
1653446546.707594,9100,7892.56787109375
1653447028.6830633,9200,8180.5390625
1653447505.747273,9300,7568.47802734375
1653447983.8450642,9400,8245.1357421875
1653448465.2142606,9500,7101.17529296875
1653448940.1399217,9600,7633.115234375
1653449418.2441826,9700,7581.11572265625
1653449891.0089428,9800,7643.26513671875
1653450377.4346886,9900,8208.119140625
1653450865.1398468,10000,8142.1728515625
1653451341.1182663,10100,8179.3466796875
1653451833.0241616,10200,8039.74609375
1653452316.2833118,10300,8042.95166015625
1653452794.6661592,10400,7323.14453125
1653453270.075673,10500,8177.2197265625
1653453745.275647,10600,7980.8369140625
1653454223.5650482,10700,7695.17822265625
1653454694.6808598,10800,7648.25439453125
1653455170.160409,10900,7532.7080078125
